region,instructions,total_cycles,average_cycles,min_cycles,max_cycles
443,554289,2240900,4.043,0,492089
105,612051,2240898,3.661,0,342463
348,644912,2240898,3.475,0,290731
60,547853,2240896,4.090,0,489817
190,560263,2240890,4.000,0,445871
533,663848,2240890,3.376,0,167795
191,547147,2240882,4.096,0,487943
86,823916,2240880,2.720,0,56787
234,571531,2240878,3.921,0,434533
74,643091,2240874,3.485,0,289225
173,549477,2240874,4.078,0,497283
484,579654,2240874,3.866,0,405787
538,633072,2240872,3.540,0,295227
116,578588,2240868,3.873,0,434351
466,554221,2240868,4.043,0,489241
342,648627,2240866,3.455,0,146567
64,548234,2240862,4.087,0,479425
557,566693,2240860,3.954,0,479187
225,551778,2240856,4.061,0,536047
300,700899,2240854,3.197,0,119067
361,687284,2240852,3.260,0,142137
391,618228,2240852,3.625,0,343009
502,658755,2240852,3.402,0,303257
627,664593,2240852,3.372,0,267893
117,576016,2240850,3.890,0,435695
318,602049,2240850,3.722,0,362393
101,605937,2240846,3.698,0,340513
79,630343,2240844,3.555,0,361981
28,716274,2240842,3.128,0,40121
532,664063,2240842,3.374,0,176249
109,679170,2240836,3.299,0,269449
56,634910,2240834,3.529,0,317305
608,601246,2240834,3.727,0,341541
110,638795,2240832,3.508,0,349571
198,619249,2240830,3.619,0,204975
604,581360,2240830,3.854,0,419741
83,584484,2240828,3.834,0,444493
512,578002,2240828,3.877,0,448159
554,530978,2240824,4.220,0,566617
587,593476,2240824,3.776,0,381023
171,560142,2240820,4.000,0,468705
42,607902,2240816,3.686,0,345701
428,607105,2240816,3.691,0,389881
476,566993,2240816,3.952,0,448175
453,588051,2240814,3.811,0,336383
63,550440,2240812,4.071,0,475515
591,538949,2240812,4.158,0,509991
57,547594,2240808,4.092,0,481641
553,572908,2240808,3.911,0,481025
352,628976,2240800,3.563,0,309287
272,602532,2240798,3.719,0,417733
291,685371,2240798,3.269,0,206001
501,671209,2240796,3.338,0,257849
72,641266,2240792,3.494,0,354023
91,642018,2240786,3.490,0,272141
157,642427,2240786,3.488,0,336591
377,645836,2240786,3.470,0,279839
139,636534,2240784,3.520,0,316905
142,604193,2240776,3.709,0,377277
6,670033,2240772,3.344,0,222553
100,718179,2240768,3.120,0,90395
140,681928,2240768,3.286,0,254477
588,564463,2240768,3.970,0,434231
270,627991,2240764,3.568,0,325223
597,605712,2240762,3.699,0,368565
614,565197,2240762,3.965,0,452165
206,604598,2240758,3.706,0,367585
199,605147,2240754,3.703,0,341893
202,604042,2240754,3.710,0,365899
308,639893,2240754,3.502,0,270697
19,654871,2240752,3.422,0,244745
369,731039,2240752,3.065,0,153553
442,558233,2240746,4.014,0,483615
132,587905,2240742,3.811,0,431561
285,617523,2240742,3.629,0,369685
572,665164,2240742,3.369,0,261667
314,689541,2240740,3.250,0,149239
251,625062,2240734,3.585,0,402241
600,604993,2240734,3.704,0,363391
474,532910,2240732,4.205,0,548025
424,585125,2240724,3.829,0,419395
505,545393,2240722,4.108,0,509801
217,637483,2240714,3.515,0,329775
444,551062,2240708,4.066,0,504997
621,668227,2240708,3.353,0,257585
121,566729,2240702,3.954,0,458081
130,644001,2240698,3.479,0,332795
241,591215,2240696,3.790,0,402917
61,547723,2240694,4.091,0,477959
626,663698,2240692,3.376,0,261797
265,612304,2240690,3.659,0,349693
73,645996,2240684,3.469,0,331781
550,538855,2240674,4.158,0,546075
280,671632,2240670,3.336,0,258481
185,540746,2240668,4.144,0,450685
208,656344,2240668,3.414,0,234435
574,606259,2240666,3.696,0,336279
514,585584,2240664,3.826,0,440961
381,618376,2240662,3.623,0,368691
103,572385,2240658,3.915,0,445387
527,633150,2240656,3.539,0,196883
586,544213,2240654,4.117,0,345889
583,563484,2240642,3.976,0,287601
534,660482,2240638,3.392,0,190423
542,495614,2240638,4.521,0,675835
601,600604,2240638,3.731,0,378309
126,629040,2240636,3.562,0,339861
156,645805,2240636,3.470,0,324925
301,630721,2240636,3.552,0,296669
447,556933,2240636,4.023,0,432155
145,649697,2240634,3.449,0,229221
368,754612,2240634,2.969,0,79119
54,645204,2240632,3.473,0,284969
582,554490,2240626,4.041,0,448621
68,665920,2240622,3.365,0,262977
573,649526,2240622,3.450,0,261673
315,692113,2240620,3.237,0,166317
317,602050,2240620,3.722,0,355677
436,714014,2240620,3.138,0,25483
10,682957,2240616,3.281,0,230199
332,617393,2240614,3.629,0,184531
615,560224,2240608,3.999,0,464645
274,588450,2240604,3.808,0,443441
275,642692,2240602,3.486,0,315609
486,576656,2240598,3.886,0,399839
371,757550,2240596,2.958,0,90079
45,644833,2240594,3.475,0,296521
488,572551,2240594,3.913,0,430781
87,652894,2240592,3.432,0,293219
344,626641,2240590,3.576,0,295631
362,802374,2240590,2.792,0,17617
469,552480,2240590,4.056,0,501309
194,581016,2240574,3.856,0,397919
327,608743,2240574,3.681,0,320251
619,671067,2240564,3.339,0,257297
263,612794,2240554,3.656,0,346315
295,690077,2240548,3.247,0,190643
395,616001,2240546,3.637,0,331065
90,608594,2240536,3.681,0,354441
262,609884,2240536,3.674,0,353245
387,634252,2240536,3.533,0,279013
37,650776,2240532,3.443,0,213617
134,698767,2240528,3.206,0,140935
351,623223,2240528,3.595,0,306873
12,656695,2240526,3.412,0,310029
167,710288,2240516,3.154,0,71545
434,703567,2240512,3.185,0,45571
205,600358,2240510,3.732,0,376345
267,605356,2240508,3.701,0,368081
71,665728,2240506,3.365,0,274509
36,610110,2240502,3.672,0,344741
183,585472,2240500,3.827,0,381831
89,593692,2240498,3.774,0,398487
9,744680,2240490,3.009,0,12799
169,670982,2240486,3.339,0,168493
411,714734,2240486,3.135,0,49341
81,666426,2240482,3.362,0,269211
260,580848,2240482,3.857,0,442723
492,568903,2240482,3.938,0,431997
34,609997,2240480,3.673,0,341359
523,564190,2240480,3.971,0,486849
304,637691,2240478,3.513,0,273179
329,610982,2240478,3.667,0,325373
21,680901,2240466,3.290,0,185537
537,618571,2240464,3.622,0,286443
239,594097,2240460,3.771,0,303177
