pc,all_instructions,all_total_cycles,marg_instructions,marg_total_cycles
0x1ff8a94,5833,5833,629,629
0x1ff8a98,5833,5833,629,629
0x1ff8a9c,5833,5833,629,629
0x1ff8aa0,5833,5833,629,629
0x1ff8aa4,5833,5833,629,629
0x1ff8aa8,5833,5833,629,629
0x1ff8aac,5833,5833,629,629
0x1ff8ab0,5833,5833,629,629
0x1ff8ab4,5833,5833,629,629
0x1ff8ab8,5833,5833,629,629
0x1ff8abc,5833,5833,629,629
0x1ff8ac0,5833,5833,629,629
0x1ff8ac4,5833,23332,629,2516
0x1ff8ac8,5833,17499,629,1887
0x1ff8c64,108,108,0,0
0x1ff8c68,108,108,0,0
0x1ff8c6c,108,108,0,0
0x1ff8c70,108,108,0,0
0x1ff8c74,108,108,0,0
0x1ff8c78,108,216,0,0
0x1ff8c7c,108,324,0,0
0x1ff8db8,108,1008,0,0
0x1ff8dbc,108,1554,0,0
0x1ff8dc0,108,354,0,0
0x1ff8dc4,108,108,0,0
0x1ff8dc8,108,108,0,0
0x1ff8dcc,108,108,0,0
0x1ff8dd0,108,108,0,0
0x1ff8dd4,108,324,0,0
0x1ff8e30,125,125,19,19
0x1ff8e34,125,375,19,57
0x1ff8e38,125,125,19,19
0x1ff8e3c,125,2442,19,313
0x1ff8e40,125,930,19,135
0x1ff8e48,84,84,12,12
0x1ff8e4c,84,84,12,12
0x1ff8e50,84,84,12,12
0x1ff8e54,84,252,12,36
0x1ff8e68,41,41,7,7
0x1ff8e6c,41,123,7,21
0x1ff8e9c,41,41,7,7
0x1ff8ea0,41,41,7,7
0x1ff8ea4,41,123,7,21
0x1ff8ea8,84,84,12,12
0x1ff8eac,84,252,12,36
0x1ff8eb4,5766,5766,621,621
0x1ff8eb8,5766,5766,621,621
0x1ff8ebc,5766,5766,621,621
0x1ff8ec0,5766,5766,621,621
0x1ff8ec4,5766,5766,621,621
0x1ff8ec8,5766,5766,621,621
0x1ff8ecc,5766,5766,621,621
0x1ff8ed0,5766,5766,621,621
0x1ff8ed4,5766,17298,621,1863
0x1ff8ed8,5766,5766,621,621
0x1ff8edc,5766,5766,621,621
0x1ff8ee0,5766,5766,621,621
0x1ff8ee4,5766,5766,621,621
0x1ff8ee8,5766,5766,621,621
0x1ff8eec,5766,5766,621,621
0x1ff8ef0,5766,5766,621,621
0x1ff8ef4,5766,5766,621,621
0x1ff8ef8,5766,5766,621,621
0x1ff8efc,5766,5766,621,621
0x1ff8f00,5766,5766,621,621
0x1ff8f04,5766,10882,621,1204
0x1ff8f08,5766,5766,621,621
0x1ff8f0c,5766,5766,621,621
0x1ff8f10,5766,224629,621,23890
0x1ff8f18,67,67,8,8
0x1ff8f1c,67,67,8,8
0x1ff8f20,67,67,8,8
0x1ff8f24,67,67,8,8
0x1ff8f28,67,67,8,8
0x1ff8f2c,67,67,8,8
0x1ff8f30,67,67,8,8
0x1ff8f34,67,67,8,8
0x1ff8f38,67,67,8,8
0x1ff8f3c,67,67,8,8
0x1ff8f40,67,67,8,8
0x1ff8f44,67,67,8,8
0x1ff8f48,67,67,8,8
0x1ff8f4c,67,134,8,16
0x1ff8f50,67,67,8,8
0x1ff8f54,67,67,8,8
0x1ff8f58,67,161,8,18
0x1ff8f5c,67,67,8,8
0x1ff8f60,67,67,8,8
0x1ff8f64,67,67,8,8
0x1ff8f68,67,67,8,8
0x1ff8f6c,67,67,8,8
0x1ff8f70,67,67,8,8
0x1ff8f74,67,268,8,32
0x1ff8f78,47,47,5,5
0x1ff8f7c,47,94,5,10
0x1ff8f80,47,47,5,5
0x1ff8f84,47,47,5,5
0x1ff8f88,47,47,5,5
0x1ff8f8c,47,47,5,5
0x1ff8f90,47,141,5,15
0x1ff8fb8,21120,21120,2277,2277
0x1ff8fbc,21120,21120,2277,2277
0x1ff8fc0,21120,105600,2277,11385
0x1ff8fc4,21120,21120,2277,2277
0x1ff8fc8,21120,63360,2277,6831
0x1ff8fcc,21120,21120,2277,2277
0x1ff8fd0,21120,21120,2277,2277
0x1ff8fd4,21120,621931,2277,67493
0x1ff8fd8,21120,126695,2277,13662
0x1ff8fdc,21120,42240,2277,4554
0x1ff8fe0,21120,21120,2277,2277
0x1ff8fe4,21120,21120,2277,2277
0x1ff8fe8,21121,387150,2277,41891
0x1ff8fec,21120,76155,2277,8211
0x1ff8ff0,21120,21120,2277,2277
0x1ff8ff4,21120,21120,2277,2277
0x1ff8ff8,21120,63360,2277,6831
0x1ff8ffc,21120,21120,2277,2277
0x1ff9000,21120,105103,2277,11488
0x1ff9004,21120,53295,2277,5749
0x1ff9008,21120,63360,2277,6831
0x1ff9010,21120,21120,2277,2277
0x1ff9014,21120,21120,2277,2277
0x1ff9018,21120,195305,2277,20762
0x1ff9028,21120,21120,2277,2277
0x1ff902c,21120,21120,2277,2277
0x1ff9030,21120,21120,2277,2277
0x1ff9034,21120,21120,2277,2277
0x1ff9038,21120,21120,2277,2277
0x1ff903c,21120,21120,2277,2277
0x1ff9040,21120,21120,2277,2277
0x1ff9044,21120,186782,2277,19937
0x1ff9048,21120,56210,2277,6022
0x1ff904c,21121,21123,2277,2277
0x1ff9050,21121,145494,2278,15929
0x1ff9054,21121,21123,2277,2277
0x1ff9058,21120,21120,2277,2277
0x1ff905c,21120,24876,2277,2757
0x1ff9060,21120,64105,2277,6921
0x1ff9064,21120,21120,2277,2277
0x1ff9068,21120,21120,2277,2277
0x1ff906c,21120,23808,2277,2569
0x1ff9070,21120,21120,2277,2277
0x1ff9074,21120,84480,2277,9108
0x1ff9078,21120,48402,2277,5221
0x1ff907c,21120,147840,2277,15939
0x1ff9080,21120,21120,2277,2277
0x1ff9084,21120,21120,2277,2277
0x1ff9088,21120,21120,2277,2277
0x1ff908c,21120,42240,2277,4554
0x1ff9090,21120,126720,2277,13662
0x1ff9094,21120,63360,2277,6831
0x1ff9098,21120,63360,2277,6831
0x1ff909c,21120,168960,2277,18216
0x1ff90a0,21120,10711852,2277,1154838
0x1ff90a4,21123,147849,2280,15948
0x1ff90a8,21120,21120,2277,2277
0x1ff90ac,21120,21120,2277,2277
0x1ff90b0,21120,21120,2277,2277
0x1ff90b4,21120,63360,2277,6831
0x1ff90b8,21120,21120,2277,2277
0x1ff90bc,21120,21120,2277,2277
0x1ff90c0,21120,21120,2277,2277
0x1ff90c4,21120,67015,2277,7284
0x1ff90c8,21120,25846,2277,2855
0x1ff90cc,21120,63360,2277,6831
0x1ff90d0,21120,71224,2277,8379
0x1ff90d4,21120,74455,2277,8240
0x1ff90d8,21120,27312,2277,3035
0x1ff90dc,21120,23064,2277,2511
0x1ff90e0,21120,63360,2277,6831
0x1ff90e4,21120,21120,2277,2277
0x1ff90e8,21120,21120,2277,2277
0x1ff90ec,21120,21120,2277,2277
0x1ff90f0,21120,21120,2277,2277
0x1ff90f4,21120,21120,2277,2277
0x1ff90f8,21120,21120,2277,2277
0x1ff90fc,21120,63360,2277,6831
0x1ff9100,21120,63360,2277,6831
0x1ff9104,21120,21120,2277,2277
0x1ff9108,21121,21123,2277,2277
0x1ff910c,21120,63360,2277,6831
0x1ff9110,21120,21120,2277,2277
0x1ff9114,21120,64904,2277,7043
0x1ff9118,21120,126720,2277,13662
0x1ff911c,21120,84480,2277,9108
0x1ff9120,21120,21120,2277,2277
0x1ff9124,21120,63360,2277,6831
0x1ff9128,21120,126784,2277,13694
0x1ff912c,21120,42250,2277,4559
0x1ff9130,21120,42254,2277,4561
0x1ff9134,21120,147840,2277,15939
0x1ff9138,21120,21120,2277,2277
0x1ff913c,21120,21120,2277,2277
0x1ff9140,21120,84480,2277,9108
0x1ff9144,21120,42240,2277,4554
0x1ff9148,21120,21120,2277,2277
0x1ff914c,21120,21120,2277,2277
0x1ff9150,21120,21120,2277,2277
0x1ff9154,21120,21120,2277,2277
0x1ff9158,21120,63360,2277,6831
0x1ff915c,21120,21120,2277,2277
0x1ff9160,21120,21120,2277,2277
0x1ff9164,21120,63360,2277,6831
0x1ff9168,21120,21637,2277,2336
0x1ff916c,21120,21120,2277,2277
0x1ff9170,21120,63360,2277,6831
0x1ff9174,21120,63360,2277,6831
0x1ff9178,21120,63360,2277,6831
0x1ff917c,21120,63360,2277,6831
0x1ff9180,21120,21203,2277,2287
0x1ff9184,21120,21203,2277,2287
0x1ff9188,21120,22067,2277,2368
0x1ff918c,21120,63360,2277,6831
0x1ff9218,606,606,84,84
0x1ff921c,606,5454,84,756
0x1ff9220,606,606,84,84
0x1ff9224,606,606,84,84
0x1ff9228,606,606,84,84
0x1ff922c,606,606,84,84
0x1ff9230,606,606,84,84
0x1ff9234,606,606,84,84
0x1ff9238,606,606,84,84
0x1ff923c,606,1818,84,252
0x1ff9240,606,606,84,84
0x1ff9244,606,7272,84,1008
0x1ff9248,606,606,84,84
0x1ff924c,606,606,84,84
0x1ff9250,606,606,84,84
0x1ff9254,606,606,84,84
0x1ff9258,606,606,84,84
0x1ff925c,606,1380,84,220
0x1ff9260,606,1422,84,240
0x1ff9264,606,606,84,84
0x1ff9268,606,606,84,84
0x1ff926c,606,606,84,84
0x1ff9270,606,606,84,84
0x1ff9274,606,3455,84,486
0x1ff9278,606,961,84,134
0x1ff927c,606,1098,84,156
0x1ff9280,606,606,84,84
0x1ff9284,606,606,84,84
0x1ff9288,606,606,84,84
0x1ff928c,606,606,84,84
0x1ff9290,606,606,84,84
0x1ff9294,606,1212,84,168
0x1ff9298,606,1212,84,168
0x1ff929c,606,606,84,84
