0x020ca0b2 in __get_handle ()
Temporary breakpoint 1 at 0x2080198: file D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c, line 243.

Temporary breakpoint 1, scVSBattleStartBattle () at D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c:243
243	    gNdsSCVSBattleOriginalFuncStartResult =
FPSP battle entered
Breakpoint 2 at 0x204fe28: file D:/Stuff/DevFolder/Smash64DS_Port/src/port/taskman_seam.c, line 4645.
FPSP 178 x10=299 sc=12 fw=15 tw=16805312 pres=177 vbl=399
FPSP 179 x10=299 sc=12 fw=15 tw=16805312 pres=178 vbl=401
FPSP 180 x10=299 sc=12 fw=15 tw=16805312 pres=179 vbl=403
FPSP 181 x10=299 sc=12 fw=15 tw=16805312 pres=180 vbl=405
FPSP 182 x10=299 sc=13 fw=15 tw=16805504 pres=181 vbl=407
FPSP 183 x10=299 sc=13 fw=15 tw=16805504 pres=182 vbl=409
FPSP 184 x10=299 sc=13 fw=15 tw=16805504 pres=183 vbl=411
FPSP 185 x10=299 sc=13 fw=15 tw=16805504 pres=184 vbl=413
FPSP 186 x10=299 sc=13 fw=15 tw=16805504 pres=185 vbl=415
FPSP 187 x10=299 sc=13 fw=15 tw=16805504 pres=186 vbl=417
FPSP 188 x10=299 sc=13 fw=15 tw=16805504 pres=187 vbl=419
FPSP 189 x10=299 sc=13 fw=15 tw=16805504 pres=188 vbl=421
FPSP 190 x10=299 sc=13 fw=15 tw=16805504 pres=189 vbl=423
FPSP 191 x10=299 sc=13 fw=15 tw=16805504 pres=190 vbl=425
FPSP 192 x10=299 sc=13 fw=15 tw=16805504 pres=191 vbl=427
FPSP 193 x10=299 sc=13 fw=15 tw=16805504 pres=192 vbl=429
FPSP 194 x10=299 sc=13 fw=15 tw=16805504 pres=193 vbl=431
FPSP 195 x10=299 sc=13 fw=15 tw=16805504 pres=194 vbl=433
FPSP 196 x10=299 sc=13 fw=15 tw=16805504 pres=195 vbl=435
FPSP 197 x10=298 sc=14 fw=15 tw=16865280 pres=196 vbl=437
FPSP 198 x10=298 sc=14 fw=15 tw=16865280 pres=197 vbl=439
FPSP 199 x10=298 sc=14 fw=15 tw=16865280 pres=198 vbl=441
FPSP 200 x10=298 sc=14 fw=15 tw=16865280 pres=199 vbl=443
FPSP 201 x10=298 sc=14 fw=15 tw=16865280 pres=200 vbl=445
FPSP 202 x10=298 sc=14 fw=15 tw=16865280 pres=201 vbl=447
FPSP 203 x10=298 sc=14 fw=15 tw=16865280 pres=202 vbl=449
FPSP 204 x10=298 sc=14 fw=15 tw=16865280 pres=203 vbl=451
FPSP 205 x10=298 sc=14 fw=15 tw=16865280 pres=204 vbl=453
FPSP 206 x10=298 sc=14 fw=15 tw=16865280 pres=205 vbl=455
FPSP 207 x10=298 sc=14 fw=15 tw=16865280 pres=206 vbl=457
FPSP 208 x10=298 sc=14 fw=15 tw=16865280 pres=207 vbl=459
FPSP 209 x10=298 sc=14 fw=15 tw=16865280 pres=208 vbl=461
FPSP 210 x10=298 sc=14 fw=15 tw=16865280 pres=209 vbl=463
FPSP 211 x10=298 sc=14 fw=15 tw=16865280 pres=210 vbl=465
FPSP 212 x10=289 sc=15 fw=15 tw=17381632 pres=211 vbl=468
FPSP 213 x10=289 sc=15 fw=15 tw=17381632 pres=212 vbl=470
FPSP 214 x10=289 sc=15 fw=15 tw=17381632 pres=214 vbl=472
FPSP 215 x10=289 sc=15 fw=15 tw=17381632 pres=215 vbl=474
FPSP 216 x10=289 sc=15 fw=15 tw=17381632 pres=215 vbl=476
FPSP 217 x10=289 sc=15 fw=15 tw=17381632 pres=216 vbl=480
FPSP 218 x10=289 sc=15 fw=15 tw=17381632 pres=217 vbl=482
FPSP 219 x10=289 sc=15 fw=15 tw=17381632 pres=218 vbl=484
FPSP 220 x10=289 sc=15 fw=15 tw=17381632 pres=219 vbl=486
FPSP 221 x10=289 sc=15 fw=15 tw=17381632 pres=220 vbl=488
FPSP 222 x10=289 sc=15 fw=15 tw=17381632 pres=221 vbl=490
FPSP 223 x10=289 sc=15 fw=15 tw=17381632 pres=222 vbl=492
FPSP 224 x10=289 sc=15 fw=15 tw=17381632 pres=223 vbl=494
FPSP 225 x10=289 sc=15 fw=15 tw=17381632 pres=224 vbl=496
FPSP 226 x10=272 sc=16 fw=14 tw=17255168 pres=225 vbl=498
FPSP 227 x10=272 sc=16 fw=14 tw=17255168 pres=226 vbl=501
FPSP 228 x10=272 sc=16 fw=14 tw=17255168 pres=227 vbl=504
FPSP 229 x10=272 sc=16 fw=14 tw=17255168 pres=228 vbl=506
FPSP 230 x10=272 sc=16 fw=14 tw=17255168 pres=229 vbl=508
FPSP 231 x10=272 sc=16 fw=14 tw=17255168 pres=230 vbl=510
FPSP 232 x10=272 sc=16 fw=14 tw=17255168 pres=231 vbl=512
FPSP 233 x10=272 sc=16 fw=14 tw=17255168 pres=232 vbl=516
FPSP 234 x10=272 sc=16 fw=14 tw=17255168 pres=233 vbl=518
FPSP 235 x10=272 sc=16 fw=14 tw=17255168 pres=234 vbl=520
