0x01ffec2a in memcpy ()
Temporary breakpoint 1 at 0x2080150: file D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c, line 243.

Temporary breakpoint 1, scVSBattleStartBattle () at D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c:243
243	    gNdsSCVSBattleOriginalFuncStartResult =
FPSP battle entered
Breakpoint 2 at 0x204fde0: file D:/Stuff/DevFolder/Smash64DS_Port/src/port/taskman_seam.c, line 4645.
FPSP 214 x10=289 sc=15 fw=15 tw=17398464 pres=213 vbl=473
FPSP 215 x10=289 sc=15 fw=15 tw=17398464 pres=214 vbl=475
FPSP 216 x10=289 sc=15 fw=15 tw=17398464 pres=215 vbl=477
FPSP 217 x10=289 sc=15 fw=15 tw=17398464 pres=216 vbl=481
FPSP 218 x10=289 sc=15 fw=15 tw=17398464 pres=217 vbl=483
FPSP 219 x10=289 sc=15 fw=15 tw=17398464 pres=218 vbl=485
FPSP 220 x10=289 sc=15 fw=15 tw=17398464 pres=219 vbl=487
FPSP 221 x10=289 sc=15 fw=15 tw=17398464 pres=220 vbl=489
FPSP 222 x10=289 sc=15 fw=15 tw=17398464 pres=221 vbl=491
FPSP 223 x10=289 sc=15 fw=15 tw=17398464 pres=222 vbl=493
FPSP 224 x10=289 sc=15 fw=15 tw=17398464 pres=223 vbl=495
FPSP 225 x10=289 sc=15 fw=15 tw=17398464 pres=224 vbl=497
FPSP 226 x10=289 sc=15 fw=15 tw=17398464 pres=225 vbl=499
FPSP 227 x10=262 sc=16 fw=14 tw=17876480 pres=226 vbl=502
FPSP 228 x10=262 sc=16 fw=14 tw=17876480 pres=227 vbl=505
FPSP 229 x10=262 sc=16 fw=14 tw=17876480 pres=228 vbl=507
FPSP 230 x10=262 sc=16 fw=14 tw=17876480 pres=229 vbl=509
FPSP 231 x10=262 sc=16 fw=14 tw=17876480 pres=230 vbl=511
FPSP 232 x10=262 sc=16 fw=14 tw=17876480 pres=231 vbl=513
FPSP 233 x10=262 sc=16 fw=14 tw=17876480 pres=232 vbl=517
FPSP 234 x10=262 sc=16 fw=14 tw=17876480 pres=233 vbl=519
FPSP 235 x10=262 sc=16 fw=14 tw=17876480 pres=234 vbl=521
FPSP 236 x10=262 sc=16 fw=14 tw=17876480 pres=235 vbl=523
FPSP 237 x10=262 sc=16 fw=14 tw=17876480 pres=236 vbl=525
FPSP 238 x10=262 sc=16 fw=14 tw=17876480 pres=237 vbl=527
FPSP 239 x10=262 sc=16 fw=14 tw=17876480 pres=238 vbl=529
FPSP 240 x10=262 sc=16 fw=14 tw=17876480 pres=239 vbl=531
FPSP 241 x10=277 sc=17 fw=14 tw=16919744 pres=240 vbl=533
FPSP 242 x10=277 sc=17 fw=14 tw=16919744 pres=241 vbl=535
FPSP 243 x10=277 sc=17 fw=14 tw=16919744 pres=242 vbl=537
FPSP 244 x10=277 sc=17 fw=14 tw=16919744 pres=243 vbl=539
FPSP 245 x10=277 sc=17 fw=14 tw=16919744 pres=244 vbl=541
FPSP 246 x10=277 sc=17 fw=14 tw=16919744 pres=245 vbl=543
FPSP 247 x10=277 sc=17 fw=14 tw=16919744 pres=246 vbl=545
FPSP 248 x10=277 sc=17 fw=14 tw=16919744 pres=247 vbl=547
FPSP 249 x10=277 sc=17 fw=14 tw=16919744 pres=248 vbl=549
FPSP 250 x10=277 sc=17 fw=14 tw=16919744 pres=249 vbl=551
FPSP 251 x10=277 sc=17 fw=14 tw=16919744 pres=250 vbl=553
FPSP 252 x10=277 sc=17 fw=14 tw=16919744 pres=251 vbl=555
FPSP 253 x10=277 sc=17 fw=14 tw=16919744 pres=252 vbl=558
FPSP 254 x10=277 sc=17 fw=14 tw=16919744 pres=253 vbl=560
FPSP 255 x10=277 sc=17 fw=14 tw=16919744 pres=254 vbl=563
FPSP 256 x10=282 sc=18 fw=15 tw=17857920 pres=255 vbl=565
FPSP 257 x10=282 sc=18 fw=15 tw=17857920 pres=256 vbl=567
FPSP 258 x10=282 sc=18 fw=15 tw=17857920 pres=257 vbl=569
FPSP 259 x10=282 sc=18 fw=15 tw=17857920 pres=258 vbl=571
FPSP 260 x10=282 sc=18 fw=15 tw=17857920 pres=259 vbl=573
FPSP 261 x10=282 sc=18 fw=15 tw=17857920 pres=260 vbl=575
FPSP 262 x10=282 sc=18 fw=15 tw=17857920 pres=261 vbl=577
FPSP 263 x10=282 sc=18 fw=15 tw=17857920 pres=262 vbl=579
FPSP 264 x10=282 sc=18 fw=15 tw=17857920 pres=263 vbl=581
FPSP 265 x10=282 sc=18 fw=15 tw=17857920 pres=264 vbl=583
FPSP 266 x10=282 sc=18 fw=15 tw=17857920 pres=265 vbl=589
FPSP 267 x10=282 sc=18 fw=15 tw=17857920 pres=266 vbl=591
FPSP 268 x10=282 sc=18 fw=15 tw=17857920 pres=268 vbl=593
FPSP 269 x10=248 sc=18 fw=15 tw=17857920 pres=268 vbl=595
FPSP 270 x10=248 sc=19 fw=13 tw=17587904 pres=269 vbl=599
FPSP 271 x10=248 sc=19 fw=13 tw=17587904 pres=270 vbl=601
FPSP 272 x10=248 sc=19 fw=13 tw=17587904 pres=271 vbl=603
FPSP 273 x10=248 sc=19 fw=13 tw=17587904 pres=272 vbl=605
FPSP 274 x10=248 sc=19 fw=13 tw=17587904 pres=274 vbl=607
FPSP 275 x10=248 sc=19 fw=13 tw=17587904 pres=274 vbl=609
FPSP 276 x10=248 sc=19 fw=13 tw=17587904 pres=275 vbl=611
FPSP 277 x10=248 sc=19 fw=13 tw=17587904 pres=276 vbl=613
FPSP 278 x10=248 sc=19 fw=13 tw=17587904 pres=278 vbl=615
FPSP 279 x10=248 sc=19 fw=13 tw=17587904 pres=278 vbl=619
FPSP 280 x10=248 sc=19 fw=13 tw=17587904 pres=279 vbl=621
FPSP 281 x10=248 sc=19 fw=13 tw=17587904 pres=280 vbl=625
FPSP 282 x10=256 sc=20 fw=13 tw=17007488 pres=281 vbl=627
FPSP 283 x10=256 sc=20 fw=13 tw=17007488 pres=282 vbl=629
FPSP 284 x10=256 sc=20 fw=13 tw=17007488 pres=283 vbl=631
FPSP 285 x10=256 sc=20 fw=13 tw=17007488 pres=284 vbl=633
FPSP 286 x10=256 sc=20 fw=13 tw=17007488 pres=285 vbl=635
FPSP 287 x10=256 sc=20 fw=13 tw=17007488 pres=287 vbl=637
FPSP 288 x10=256 sc=20 fw=13 tw=17007488 pres=287 vbl=639
FPSP 289 x10=256 sc=20 fw=13 tw=17007488 pres=288 vbl=641
FPSP 290 x10=256 sc=20 fw=13 tw=17007488 pres=289 vbl=643
FPSP 291 x10=256 sc=20 fw=13 tw=17007488 pres=290 vbl=645
FPSP 292 x10=256 sc=20 fw=13 tw=17007488 pres=291 vbl=647
FPSP 293 x10=256 sc=20 fw=13 tw=17007488 pres=292 vbl=649
FPSP 294 x10=256 sc=20 fw=13 tw=17007488 pres=293 vbl=651
FPSP 295 x10=256 sc=20 fw=13 tw=17007488 pres=294 vbl=655
FPSP 296 x10=278 sc=21 fw=14 tw=16859392 pres=295 vbl=657
FPSP 297 x10=278 sc=21 fw=14 tw=16859392 pres=296 vbl=659
FPSP 298 x10=278 sc=21 fw=14 tw=16859392 pres=297 vbl=661
FPSP 299 x10=278 sc=21 fw=14 tw=16859392 pres=298 vbl=663
FPSP 300 x10=278 sc=21 fw=14 tw=16859392 pres=299 vbl=665
FPSP 301 x10=278 sc=21 fw=14 tw=16859392 pres=300 vbl=669
FPSP 302 x10=278 sc=21 fw=14 tw=16859392 pres=301 vbl=671
FPSP 303 x10=278 sc=21 fw=14 tw=16859392 pres=302 vbl=673
FPSP 304 x10=278 sc=21 fw=14 tw=16859392 pres=304 vbl=675
FPSP 305 x10=278 sc=21 fw=14 tw=16859392 pres=304 vbl=677
FPSP 306 x10=278 sc=21 fw=14 tw=16859392 pres=305 vbl=679
FPSP 307 x10=278 sc=21 fw=14 tw=16859392 pres=306 vbl=681
FPSP 308 x10=278 sc=21 fw=14 tw=16859392 pres=307 vbl=683
FPSP 309 x10=278 sc=21 fw=14 tw=16859392 pres=308 vbl=685
FPSP 310 x10=279 sc=22 fw=14 tw=16835072 pres=310 vbl=687
FPSP 311 x10=279 sc=22 fw=14 tw=16835072 pres=310 vbl=689
FPSP 312 x10=279 sc=22 fw=14 tw=16835072 pres=311 vbl=691
FPSP 313 x10=279 sc=22 fw=14 tw=16835072 pres=312 vbl=694
FPSP 314 x10=279 sc=22 fw=14 tw=16835072 pres=313 vbl=698
FPSP 315 x10=279 sc=22 fw=14 tw=16835072 pres=314 vbl=700
FPSP 316 x10=279 sc=22 fw=14 tw=16835072 pres=315 vbl=702
FPSP 317 x10=279 sc=22 fw=14 tw=16835072 pres=316 vbl=704
FPSP 318 x10=279 sc=22 fw=14 tw=16835072 pres=317 vbl=706
FPSP 319 x10=279 sc=22 fw=14 tw=16835072 pres=318 vbl=708
FPSP 320 x10=279 sc=22 fw=14 tw=16835072 pres=320 vbl=710
FPSP 321 x10=279 sc=22 fw=14 tw=16835072 pres=321 vbl=712
FPSP 322 x10=279 sc=22 fw=14 tw=16835072 pres=321 vbl=714
FPSP 323 x10=279 sc=22 fw=14 tw=16835072 pres=322 vbl=716
FPSP 324 x10=270 sc=23 fw=14 tw=17393024 pres=323 vbl=718
FPSP 325 x10=270 sc=23 fw=14 tw=17393024 pres=324 vbl=720
