pc,whole_instructions,whole_total_cycles,whole_issue,whole_icache_fill,whole_dcache_fill,whole_write_buffer,whole_bus_contention,whole_dma_hold,whole_interlock,whole_halt_wait,sitr25_instructions,sitr25_total_cycles,sitr25_issue,sitr25_icache_fill,sitr25_dcache_fill,sitr25_write_buffer,sitr25_bus_contention,sitr25_dma_hold,sitr25_interlock,sitr25_halt_wait,event288_instructions,event288_total_cycles,event288_issue,event288_icache_fill,event288_dcache_fill,event288_write_buffer,event288_bus_contention,event288_dma_hold,event288_interlock,event288_halt_wait,quiet_instructions,quiet_total_cycles,quiet_issue,quiet_icache_fill,quiet_dcache_fill,quiet_write_buffer,quiet_bus_contention,quiet_dma_hold,quiet_interlock,quiet_halt_wait,card_instructions,card_total_cycles,card_issue,card_icache_fill,card_dcache_fill,card_write_buffer,card_bus_contention,card_dma_hold,card_interlock,card_halt_wait
0x02056758,5,110,-18,3,113,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,110,-18,3,113,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x020b0bc0,3,185,-18,9,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,126,-12,6,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x020b0eb0,98,1292,0,1292,0,0,0,0,0,0,20,183,0,183,0,0,0,0,0,0,79,1033,0,1033,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,2,46,0,46,0,0,0,0,0,0
0x020595a2,3,118,-10,0,124,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,118,-10,0,124,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02044e9a,38504,39458,35173,0,0,4285,0,0,0,0,602,609,549,0,0,60,0,0,0,0,6928,7040,6265,0,0,775,0,0,0,0,18576,19117,16943,0,0,2174,0,0,0,0,170,177,149,0,0,28,0,0,0,0
0x02061734,7074,22263,17,22234,0,12,0,0,0,0,220,683,2,681,0,0,0,0,0,0,1548,4869,3,4866,0,0,0,0,0,0,2299,7391,2,7387,0,2,0,0,0,0,30,84,0,84,0,0,0,0,0,0
0x0205fa12,84,1113,147,0,958,8,0,0,0,0,8,184,16,0,168,0,0,0,0,0,24,263,79,0,184,0,0,0,0,0,3,109,8,0,97,4,0,0,0,0,1,45,4,0,41,0,0,0,0,0
0x020c457c,16,457,0,416,0,0,0,0,41,0,12,378,0,346,0,0,0,0,32,0,16,457,0,416,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,10,329,0,304,0,0,0,0,25,0
0x0205f2fa,167,3725,984,0,2601,140,0,0,0,0,14,325,109,0,204,12,0,0,0,0,50,1148,292,0,804,52,0,0,0,0,11,242,3,0,227,12,0,0,0,0,2,41,19,0,22,0,0,0,0,0
0x02041a82,5173,5603,-50,0,5633,20,0,0,0,0,96,96,0,0,96,0,0,0,0,0,1191,1363,-20,0,1371,12,0,0,0,0,2211,2297,-10,0,2303,4,0,0,0,0,30,30,0,0,30,0,0,0,0,0
0x020b0f44,6487,28125,-1336,28125,0,1336,0,0,0,0,140,644,-31,644,0,31,0,0,0,0,1619,7399,-281,7399,0,281,0,0,0,0,2700,11460,-561,11460,0,561,0,0,0,0,42,184,-6,184,0,6,0,0,0,0
0x020a6a68,14,354,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,352,0,352,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0202242c,3415,25293,57,25236,0,0,0,0,0,0,82,678,0,678,0,0,0,0,0,0,653,5067,12,5055,0,0,0,0,0,0,1593,10887,26,10861,0,0,0,0,0,0,20,168,0,168,0,0,0,0,0,0
0x0202246c,3415,25365,58,25307,0,0,0,0,0,0,82,702,2,700,0,0,0,0,0,0,653,5115,12,5103,0,0,0,0,0,0,1593,10887,30,10857,0,0,0,0,0,0,20,180,0,180,0,0,0,0,0,0
0x0208159c,44,471,-15,471,0,15,0,0,0,0,1,17,0,17,0,0,0,0,0,0,10,110,-1,110,0,1,0,0,0,0,20,225,-8,225,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02017560,28800,48021,0,48021,0,0,0,0,0,0,450,768,0,768,0,0,0,0,0,0,5184,8604,0,8604,0,0,0,0,0,0,13896,23019,0,23019,0,0,0,0,0,0,126,222,0,222,0,0,0,0,0,0
0x0205ebe0,3229,87447,7,87440,0,0,0,0,0,0,50,1446,0,1446,0,0,0,0,0,0,585,16389,2,16387,0,0,0,0,0,0,1573,40224,5,40219,0,0,0,0,0,0,14,393,0,393,0,0,0,0,0,0
0x020585a0,84818,86578,0,86578,0,0,0,0,0,0,1404,1424,0,1424,0,0,0,0,0,0,15672,16006,0,16006,0,0,0,0,0,0,39059,39853,0,39853,0,0,0,0,0,0,392,402,0,402,0,0,0,0,0,0
0x02054314,4,124,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,61,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0203f32c,1600,75216,-9600,4800,75332,4684,0,0,0,0,25,1175,-150,75,1210,40,0,0,0,0,288,13536,-1728,864,13560,840,0,0,0,0,772,36300,-4632,2316,36252,2364,0,0,0,0,7,329,-42,21,350,0,0,0,0,0
0x020b0664,158,2710,-433,367,2560,216,0,0,0,0,8,178,-24,42,152,8,0,0,0,0,66,1283,-205,209,1191,88,0,0,0,0,14,227,-36,27,204,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x020b0984,94,572,-75,136,495,16,0,0,0,0,2,25,-6,1,30,0,0,0,0,0,80,535,-69,135,453,16,0,0,0,0,7,7,0,0,7,0,0,0,0,0,2,25,-6,1,30,0,0,0,0,0
0x02044ee4,43324,59849,0,59849,0,0,0,0,0,0,672,912,0,912,0,0,0,0,0,0,7790,10890,0,10890,0,0,0,0,0,0,21142,29107,0,29107,0,0,0,0,0,0,189,244,0,244,0,0,0,0,0,0
0x02085a24,5,303,-30,15,302,16,0,0,0,0,1,59,-6,3,58,4,0,0,0,0,5,303,-30,15,302,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,-6,3,58,4,0,0,0,0
0x02012078,3,104,0,104,0,0,0,0,0,0,3,104,0,104,0,0,0,0,0,0,3,104,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02017400,12,143,0,143,0,0,0,0,0,0,12,143,0,143,0,0,0,0,0,0,12,143,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
