f_read (fp=0x224f86c, buff=<optimized out>, btr=<optimized out>, br=<optimized out>) at /home/davem/projects/devkitpro/pacman-packages/libfat/src/libdvm-2.1.0/fatfs/source/ff.c:3906
warning: 3906	/home/davem/projects/devkitpro/pacman-packages/libfat/src/libdvm-2.1.0/fatfs/source/ff.c: No such file or directory
warning: could not convert '$n' from the host encoding (CP1252) to UTF-32.
This normally should not happen, please file a bug report.
PCAD build=build-c205-camtoggle route=gNdsR2CameraFixedEnabled initial=0 perframe=1 flips=400/401
Temporary breakpoint 1 at 0x20804b4: file D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c, line 243.

Temporary breakpoint 1, scVSBattleStartBattle () at D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c:243
243	    gNdsSCVSBattleOriginalFuncStartResult =
Breakpoint 2 at 0x2050064: file D:/Stuff/DevFolder/Smash64DS_Port/src/port/taskman_seam.c, line 4646.
PCADFLIP 1 -> 0
PCADHIST INIT n=1 2=0 3=0 4=0 5=1 max=26 min=26 viol=0 vbl=26 pres=1 tk=14047168
PCADF 125 vbl=352 pres=125 tk=196668032 rt=0 fx=0 fl=250 px=0 pl=250
PCADF 126 vbl=354 pres=126 tk=197788480 rt=0 fx=0 fl=252 px=0 pl=252
PCADF 127 vbl=356 pres=127 tk=198908736 rt=0 fx=0 fl=254 px=0 pl=254
PCADF 128 vbl=358 pres=128 tk=200029248 rt=0 fx=0 fl=256 px=0 pl=256
PCADF 129 vbl=360 pres=129 tk=201149632 rt=0 fx=0 fl=258 px=0 pl=258
PCADF 130 vbl=362 pres=130 tk=202269888 rt=0 fx=0 fl=260 px=0 pl=260
PCADF 131 vbl=364 pres=131 tk=203390464 rt=0 fx=0 fl=262 px=0 pl=262
PCADF 132 vbl=366 pres=132 tk=204510720 rt=0 fx=0 fl=264 px=0 pl=264
PCADF 133 vbl=368 pres=133 tk=205631168 rt=0 fx=0 fl=266 px=0 pl=266
PCADF 134 vbl=370 pres=134 tk=206751424 rt=0 fx=0 fl=268 px=0 pl=268
PCADF 135 vbl=372 pres=135 tk=207872064 rt=0 fx=0 fl=270 px=0 pl=270
PCADF 136 vbl=374 pres=136 tk=208992384 rt=0 fx=0 fl=272 px=0 pl=272
PCADF 137 vbl=376 pres=137 tk=210112640 rt=0 fx=0 fl=274 px=0 pl=274
PCADF 138 vbl=378 pres=138 tk=211232832 rt=0 fx=0 fl=276 px=0 pl=276
PCADF 139 vbl=380 pres=139 tk=212353344 rt=0 fx=0 fl=278 px=0 pl=278
PCADF 140 vbl=382 pres=140 tk=213473664 rt=0 fx=0 fl=280 px=0 pl=280
PCADF 141 vbl=384 pres=141 tk=214594176 rt=0 fx=0 fl=282 px=0 pl=282
PCADF 142 vbl=386 pres=142 tk=215714688 rt=0 fx=0 fl=284 px=0 pl=284
PCADF 143 vbl=388 pres=143 tk=216834944 rt=0 fx=0 fl=286 px=0 pl=286
PCADF 144 vbl=390 pres=144 tk=217955328 rt=0 fx=0 fl=288 px=0 pl=288
PCADF 145 vbl=392 pres=145 tk=219075712 rt=0 fx=0 fl=290 px=0 pl=290
PCADF 146 vbl=394 pres=146 tk=220196096 rt=0 fx=0 fl=292 px=0 pl=292
PCADF 147 vbl=396 pres=147 tk=221316288 rt=0 fx=0 fl=294 px=0 pl=294
PCADF 148 vbl=398 pres=148 tk=222437056 rt=0 fx=0 fl=296 px=0 pl=296
PCADF 149 vbl=400 pres=149 tk=223557248 rt=0 fx=0 fl=298 px=0 pl=298
PCADF 150 vbl=402 pres=150 tk=224677632 rt=0 fx=0 fl=300 px=0 pl=300
PCADF 151 vbl=404 pres=151 tk=225798144 rt=0 fx=0 fl=302 px=0 pl=302
PCADF 152 vbl=406 pres=152 tk=226918272 rt=0 fx=0 fl=304 px=0 pl=304
PCADF 153 vbl=408 pres=153 tk=228038528 rt=0 fx=0 fl=306 px=0 pl=306
PCADF 154 vbl=410 pres=154 tk=229159168 rt=0 fx=0 fl=308 px=0 pl=308
PCADF 155 vbl=412 pres=155 tk=230279616 rt=0 fx=0 fl=310 px=0 pl=310
PCADF 156 vbl=414 pres=156 tk=231400000 rt=0 fx=0 fl=312 px=0 pl=312
PCADF 157 vbl=416 pres=157 tk=232520384 rt=0 fx=0 fl=314 px=0 pl=314
PCADF 158 vbl=418 pres=158 tk=233640576 rt=0 fx=0 fl=316 px=0 pl=316
PCADF 159 vbl=420 pres=159 tk=234761152 rt=0 fx=0 fl=318 px=0 pl=318
PCADF 160 vbl=422 pres=160 tk=235881344 rt=0 fx=0 fl=320 px=0 pl=320
PCADF 161 vbl=424 pres=161 tk=237001856 rt=0 fx=0 fl=322 px=0 pl=322
PCADF 162 vbl=426 pres=162 tk=238122112 rt=0 fx=0 fl=324 px=0 pl=324
PCADF 163 vbl=428 pres=163 tk=239242496 rt=0 fx=0 fl=326 px=0 pl=326
PCADF 164 vbl=430 pres=164 tk=240362880 rt=0 fx=0 fl=328 px=0 pl=328
PCADF 165 vbl=432 pres=165 tk=241483392 rt=0 fx=0 fl=330 px=0 pl=330
PCADF 166 vbl=434 pres=166 tk=242603776 rt=0 fx=0 fl=332 px=0 pl=332
PCADF 167 vbl=436 pres=167 tk=243723968 rt=0 fx=0 fl=334 px=0 pl=334
PCADF 168 vbl=438 pres=168 tk=244844480 rt=0 fx=0 fl=336 px=0 pl=336
PCADF 169 vbl=440 pres=169 tk=245964800 rt=0 fx=0 fl=338 px=0 pl=338
PCADF 170 vbl=442 pres=170 tk=247085056 rt=0 fx=0 fl=340 px=0 pl=340
PCADF 171 vbl=444 pres=171 tk=248205504 rt=0 fx=0 fl=342 px=0 pl=342
PCADF 172 vbl=446 pres=172 tk=249326080 rt=0 fx=0 fl=344 px=0 pl=344
PCADF 173 vbl=448 pres=173 tk=250446336 rt=0 fx=0 fl=346 px=0 pl=346
PCADF 174 vbl=450 pres=174 tk=251566720 rt=0 fx=0 fl=348 px=0 pl=348
PCADF 175 vbl=452 pres=175 tk=252687104 rt=0 fx=0 fl=350 px=0 pl=350
PCADF 176 vbl=454 pres=176 tk=253808064 rt=0 fx=0 fl=352 px=0 pl=352
PCADF 177 vbl=456 pres=177 tk=254927872 rt=0 fx=0 fl=354 px=0 pl=354
PCADF 178 vbl=458 pres=178 tk=256048192 rt=0 fx=0 fl=356 px=0 pl=356
PCADF 179 vbl=460 pres=179 tk=257168512 rt=0 fx=0 fl=358 px=0 pl=358
PCADF 180 vbl=462 pres=180 tk=258288896 rt=0 fx=0 fl=360 px=0 pl=360
PCADF 181 vbl=464 pres=181 tk=259409472 rt=0 fx=0 fl=362 px=0 pl=362
PCADF 182 vbl=466 pres=182 tk=260529792 rt=0 fx=0 fl=364 px=0 pl=364
PCADF 183 vbl=468 pres=183 tk=261650176 rt=0 fx=0 fl=366 px=0 pl=366
PCADF 184 vbl=470 pres=184 tk=262770496 rt=0 fx=0 fl=368 px=0 pl=368
PCADF 185 vbl=472 pres=185 tk=263890880 rt=0 fx=0 fl=370 px=0 pl=370
PCADF 186 vbl=474 pres=186 tk=265011200 rt=0 fx=0 fl=372 px=0 pl=372
PCADF 187 vbl=476 pres=187 tk=266131648 rt=0 fx=0 fl=374 px=0 pl=374
PCADF 188 vbl=478 pres=188 tk=267252032 rt=0 fx=0 fl=376 px=0 pl=376
PCADF 189 vbl=480 pres=189 tk=268372160 rt=0 fx=0 fl=378 px=0 pl=378
PCADF 190 vbl=482 pres=190 tk=269492928 rt=0 fx=0 fl=380 px=0 pl=380
PCADF 191 vbl=484 pres=191 tk=270613248 rt=0 fx=0 fl=382 px=0 pl=382
PCADF 192 vbl=486 pres=192 tk=271733504 rt=0 fx=0 fl=384 px=0 pl=384
PCADF 193 vbl=488 pres=193 tk=272853888 rt=0 fx=0 fl=386 px=0 pl=386
PCADF 194 vbl=490 pres=194 tk=273974144 rt=0 fx=0 fl=388 px=0 pl=388
PCADF 195 vbl=492 pres=195 tk=275094592 rt=0 fx=0 fl=390 px=0 pl=390
PCADF 196 vbl=494 pres=196 tk=276217024 rt=0 fx=0 fl=392 px=0 pl=392
PCADF 197 vbl=496 pres=197 tk=277337280 rt=0 fx=0 fl=394 px=0 pl=394
PCADF 198 vbl=498 pres=198 tk=278457664 rt=0 fx=0 fl=396 px=0 pl=396
PCADF 199 vbl=500 pres=199 tk=279577792 rt=0 fx=0 fl=398 px=0 pl=398
PCADF 200 vbl=502 pres=200 tk=280698560 rt=0 fx=0 fl=400 px=0 pl=400
PCADF 201 vbl=504 pres=201 tk=281818688 rt=0 fx=0 fl=402 px=0 pl=402
PCADF 202 vbl=506 pres=202 tk=282939008 rt=0 fx=0 fl=404 px=0 pl=404
PCADF 203 vbl=508 pres=203 tk=284059328 rt=0 fx=0 fl=406 px=0 pl=406
PCADF 204 vbl=510 pres=204 tk=285179904 rt=0 fx=0 fl=408 px=0 pl=408
PCADF 205 vbl=512 pres=205 tk=286300224 rt=0 fx=0 fl=410 px=0 pl=410
PCADF 206 vbl=514 pres=206 tk=287420864 rt=0 fx=0 fl=412 px=0 pl=412
PCADF 207 vbl=516 pres=207 tk=288540928 rt=0 fx=0 fl=414 px=0 pl=414
