pc,whole_instructions,m80prof_instructions,m80gate_instructions
0x02021024,4963,290,350
0x0202105c,6400,320,320
0x0202107c,6403,320,323
0x0202109c,19200,960,960
0x02022104,6567,336,348
0x02022244,3488,230,308
0x02022268,3488,230,308
0x020222c0,3415,225,297
0x020222cc,3415,225,297
0x020222dc,3415,225,297
0x020222ec,3415,225,297
0x020222fc,3415,225,297
0x0202230c,3415,225,297
0x0202231c,3415,225,297
0x02022334,3415,225,297
0x0202234c,3415,225,297
0x02022364,3415,225,297
0x02022374,3415,225,297
0x0202238c,3415,225,297
0x020223a4,3415,225,297
0x020223bc,3415,225,297
0x020223d4,3415,225,297
0x020223e4,3415,225,297
0x020223fc,3415,225,297
0x02022414,3415,225,297
0x0202242c,3415,225,297
0x02022444,3415,225,297
0x02022454,3415,225,297
0x0202246c,3415,225,297
0x0202247c,3415,225,297
0x02022490,3415,225,297
0x020224a4,3415,225,297
0x020224b8,3415,225,297
0x020224cc,3415,225,297
0x020224d0,3415,225,297
0x020225d0,13660,900,1188
0x020225d8,13660,900,1188
0x020225e8,13660,900,1188
0x020225f4,13660,900,1188
0x02022600,13660,900,1188
0x02022618,13660,900,1188
0x0202262c,13660,900,1188
0x02022630,13660,900,1188
0x02022640,13660,900,1188
0x0202267c,13660,900,1188
0x02022684,13660,900,1188
0x02022694,13660,900,1188
0x020226a0,13660,900,1188
0x020226ac,13660,900,1188
0x020226c4,13660,900,1188
0x020226d8,13660,900,1188
0x020226dc,13660,900,1188
0x020226e4,13660,900,1188
0x0202271c,13660,900,1188
0x02022724,13660,900,1188
0x02022734,13660,900,1188
0x02022740,13660,900,1188
0x0202274c,13660,900,1188
0x02022764,13660,900,1188
0x02022778,13660,900,1188
0x0202277c,13660,900,1188
0x02022784,13660,900,1188
0x020232cc,3,0,3
0x020232f8,3,0,3
0x02023310,3,0,3
0x02023334,3,0,3
0x02023338,6400,320,320
0x02023378,6400,320,320
0x020233a4,6400,320,320
0x020233d0,6400,320,320
0x020233f8,6400,320,320
0x02023424,6400,320,320
0x02023450,6400,320,320
0x02023488,3373,222,114
0x020235c8,13,0,4
0x02023894,3360,222,110
0x020238c0,215,15,9
0x0202393c,9,0,3
0x020240a4,3360,222,110
0x020240d8,215,15,9
0x02024890,282,15,8
0x020248c4,4,0,1
0x0202535c,6567,336,348
0x02025364,6567,336,348
0x02025460,84,8,11
0x02025700,84,8,11
0x02025704,84,8,11
0x02025bf0,84,8,11
0x02025c38,84,8,11
0x02025c3c,84,8,11
0x02025d54,84,8,11
0x02025d70,84,8,11
0x02025d80,84,8,11
0x02025d90,84,8,11
0x02025da4,84,8,11
0x02025db4,84,8,11
0x02025dc4,84,8,11
0x02025dd4,84,8,11
0x02025e00,84,8,11
0x020261cc,57,5,6
0x02026204,57,5,6
0x02026210,57,5,6
0x0202626c,57,5,6
0x020262b4,57,5,6
0x020264c0,1,0,0
0x020264cc,1,0,0
0x02026530,1,0,0
0x02026598,1,0,0
0x020265ac,1,0,0
0x02026630,1,0,0
0x02026658,1,0,0
0x02026668,1,0,0
0x02026694,1,0,0
0x020266a8,1,0,0
0x02026988,24,3,6
0x02026ab8,24,3,6
0x02026b04,432,54,108
0x02026b40,432,54,108
0x02026eb0,24,3,6
0x02026f10,24,3,6
0x0202705c,24,3,6
0x020270d0,24,3,6
0x02027138,24,3,6
0x0202732c,24,3,6
0x020273c0,24,3,6
0x020274f0,432,54,108
0x02027520,24,3,6
0x02027534,24,3,6
0x02027548,24,3,6
0x02027564,24,3,6
0x0202757c,24,3,6
0x0202759c,24,3,6
