frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,gNdsHardwareRendererStatus,gNdsHardwareRendererPolyRamCount,gNdsParticleBatchOpens,gNdsParticleScaleEscalations,gNdsR2LightVectorWrites,gNdsParticleCameraLoads
529,1117376,303424,176192,4224,2944,1088,336256,134400,201664,181824,935552,7552,1024,330816,48320,1344,1984,145344,77888,640,934464,100663296,475,216,60,1058,247
530,1117824,305344,175488,4160,2816,1024,329984,127552,171776,152256,965504,7168,960,324672,47104,1344,2048,147712,76672,768,964480,100663296,479,219,60,1060,250
531,1117760,304192,176128,4288,2880,1152,325248,127104,175104,155328,962304,6912,960,319872,47040,1280,2112,144320,76416,512,961152,100663296,479,222,60,1062,253
532,1117632,305216,176640,4288,2944,1088,331072,126528,172096,152576,965440,6848,1024,325504,47040,1280,1984,148032,77824,704,964352,100663296,479,225,60,1064,256
533,1118016,303360,176576,4352,4800,1024,327360,128896,172416,152448,965376,7360,960,322048,42816,1344,1984,145472,77440,640,964352,100663296,467,228,60,1066,259
534,1117824,303488,175680,4160,3136,1024,330816,109376,172416,152448,965376,7360,960,325376,49984,1472,2176,149504,76736,640,964352,100663296,467,230,60,1068,261
535,1117696,306240,175680,4224,1600,1024,328832,95616,206784,187136,930816,6912,896,323648,50560,1280,2112,149184,77248,704,929792,100663296,468,231,60,1070,262
536,1117952,305088,174784,4224,1472,1024,333888,94208,204608,184192,933888,7040,1024,328256,50560,1280,1920,151552,79680,576,932864,100663296,477,232,60,1072,263
537,1118080,303104,175616,4160,1600,1024,334528,96960,199680,180032,937280,7168,1024,329024,50240,1472,2048,154496,77632,704,936256,100663296,477,233,60,1074,264
538,1117312,302976,176320,4224,1664,1024,469184,94272,65664,46144,1071360,7040,832,463936,99008,1472,1984,289536,77440,640,1070336,100663296,470,234,60,1076,265
539,1117504,305920,175680,4096,1664,1024,336896,97536,195264,175488,942528,7040,1024,331520,50752,1600,2112,154112,80768,576,941504,100663296,470,235,60,1078,266
